TotalAcc,LocalAcc
0.814578345304602,0.727620715973338
0.814578345304602,0.727657993974073
0.814711359404097,0.725846815756002
0.814977387603086,0.725987989305715
0.814844373503591,0.727848097290116
0.815243415802075,0.726329338002511
0.814312317105613,0.725701883338251
0.814046288906624,0.726366155971195
0.814445331205108,0.726558173173132
0.815509444001064,0.727336049225803
0.81511040170258,0.727124245715991
0.815509444001064,0.727251435668495
0.815509444001064,0.727383826169156
0.81537642990157,0.727334472482781
0.81511040170258,0.727287805644314
0.815908486299548,0.727824016856724
0.815509444001064,0.727605173346058
0.81511040170258,0.729807968128511
0.816041500399042,0.730343210696541
0.815908486299548,0.73017368365565
0.815642458100559,0.730221399534658
0.816440542697526,0.730452908956186
0.816440542697526,0.730398802044566
0.81657355679702,0.730472908819849
0.816706570896515,0.730668581514074
0.816440542697526,0.730531768956715
0.816706570896515,0.732144406169429
0.816440542697526,0.731951671095498
0.816041500399042,0.731679075689505
0.815775472200053,0.731535933163878
0.816041500399042,0.731738206375453
0.816041500399042,0.731690784448394
0.815775472200053,0.731532119205821
0.815642458100559,0.733463470778409
0.815243415802075,0.731346469188749
0.815509444001064,0.731544957819459
0.81537642990157,0.731573311310637
0.815509444001064,0.731505489447616
0.815642458100559,0.731602841472538
0.815243415802075,0.731364537293098
